Category: All categories,
,
City,Breitbart: (1/1/12 - 1/1/17)
Huntsville,100
Colorado Springs,81
Scottsdale,80
Henderson,77
Arlington,73
Boise,70
Omaha,67
Birmingham,64
Indianapolis,64
Oklahoma City,62
Kansas City,61
Cincinnati,60
Phoenix,58
Tucson,58
Virginia Beach,57
Sacramento,54
Fort Worth,53
Raleigh,53
Salt Lake City,53
Nashville,53
Paradise,52
Albuquerque,52
Tampa,50
Houston,50
Jacksonville,50
Irvine,50
Boston,49
Washington,48
Portland,48
Knoxville,47
Las Vegas,46
New Orleans,46
Memphis,46
Lexington,46
Denver,45
San Diego,45
Milwaukee,45
Austin,44
St. Louis,44
Pittsburgh,44
Wichita,43
Charlotte,43
Plano,43
Baltimore,42
Dallas,42
Louisville,42
Minneapolis,41
Orlando,40
Seattle,39
Columbus,38
Saint Paul,37
Madison,36
Chicago,36
San Antonio,36
Los Angeles,35
Detroit,34
Alexandria,34
Atlanta,34
Fresno,33
Philadelphia,33
San Francisco,33
New York,31
Miami,26
San Jose,26
