,combined_fips,place_name,state_name,name.x,Median Age,Population,Total_ForeignBorn,Total_2010,Natu_2010,NCit_2010,Total_2000,Natu_2000,NCit_2000,Total_1990,Natu_1990,NCit_1990,Total_Early90,Natu_Early90,NCit_Early90,Poverty Count,Household Income,Per Capita Income,combined_name,place_fips,state_fips,Poverty Rate,ForeignBorn_Rate,state_abbr
1,0100124,Abbeville,Alabama,Abbeville AL,50.4,2627.0,12.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,601.0,28148.0,20756.0,"Abbeville city, Alabama",00124,01,22.87780738484964,0.4567948229920061,AL
2,0100460,Adamsville,Alabama,Adamsville AL,42.0,4422.0,42.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,34.0,0.0,34.0,682.0,44833.0,23732.0,"Adamsville city, Alabama",00460,01,15.422885572139304,0.9497964721845319,AL
3,0100484,Addison,Alabama,Addison AL,46.2,757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,34063.0,21097.0,"Addison town, Alabama",00484,01,29.062087186261557,0.0,AL
4,0100676,Akron,Alabama,Akron AL,43.9,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,17344.0,10092.0,"Akron town, Alabama",00676,01,43.65079365079365,0.0,AL
5,0100820,Alabaster,Alabama,Alabaster AL,37.2,32269.0,2193.0,446.0,19.0,427.0,804.0,110.0,694.0,566.0,79.0,487.0,377.0,228.0,149.0,3262.0,73325.0,28239.0,"Alabaster city, Alabama",00820,01,10.108773125910316,6.795996157302675,AL
6,0100988,Albertville,Alabama,Albertville AL,33.4,21434.0,2992.0,207.0,0.0,207.0,1309.0,81.0,1228.0,1105.0,242.0,863.0,371.0,51.0,320.0,5970.0,32042.0,18023.0,"Albertville city, Alabama",00988,01,27.85294392087338,13.959130353643744,AL
7,0101132,Alexander City,Alabama,Alexander City AL,39.5,14859.0,495.0,0.0,0.0,0.0,349.0,189.0,160.0,127.0,81.0,46.0,19.0,11.0,8.0,4847.0,30442.0,17833.0,"Alexander City city, Alabama",01132,01,32.61996096641766,3.3313143549364024,AL
9,0101228,Aliceville,Alabama,Aliceville AL,32.7,3218.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,1296.0,19926.0,11053.0,"Aliceville city, Alabama",01228,01,40.27346177750155,0.18645121193287756,AL
10,0101396,Allgood,Alabama,Allgood AL,30.1,663.0,173.0,7.0,0.0,7.0,59.0,0.0,59.0,104.0,25.0,79.0,3.0,0.0,3.0,185.0,40817.0,16140.0,"Allgood town, Alabama",01396,01,27.90346907993967,26.093514328808446,AL
11,0101660,Altoona,Alabama,Altoona AL,43.5,768.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,180.0,28672.0,16783.0,"Altoona town, Alabama",01660,01,23.4375,0.6510416666666666,AL
12,0101708,Andalusia,Alabama,Andalusia AL,41.4,9042.0,149.0,0.0,0.0,0.0,50.0,19.0,31.0,30.0,15.0,15.0,69.0,69.0,0.0,1747.0,34012.0,22019.0,"Andalusia city, Alabama",01708,01,19.320946693209468,1.647865516478655,AL
13,0101756,Anderson,Alabama,Anderson AL,42.8,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,45500.0,23276.0,"Anderson town, Alabama",01756,01,14.671814671814673,0.0,AL
14,0101852,Anniston,Alabama,Anniston AL,42.2,22441.0,393.0,39.0,0.0,39.0,83.0,34.0,49.0,74.0,48.0,26.0,197.0,154.0,43.0,6928.0,30539.0,21184.0,"Anniston city, Alabama",01852,01,30.8720645247538,1.7512588565571945,AL
15,0102116,Arab,Alabama,Arab AL,40.7,8247.0,207.0,43.0,7.0,36.0,82.0,48.0,34.0,53.0,33.0,20.0,29.0,20.0,9.0,1394.0,42199.0,23932.0,"Arab city, Alabama",02116,01,16.90311628470959,2.5100036376864314,AL
16,0102260,Ardmore,Alabama,Ardmore AL,38.4,1526.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,293.0,35150.0,17416.0,"Ardmore town, Alabama",02260,01,19.200524246395805,0.45871559633027525,AL
17,0102320,Argo,Alabama,Argo AL,43.3,4145.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,42.0,16.0,406.0,58103.0,25417.0,"Argo town, Alabama",02320,01,9.794933655006032,1.399276236429433,AL
18,0102428,Ariton,Alabama,Ariton AL,39.1,772.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,249.0,30833.0,15908.0,"Ariton town, Alabama",02428,01,32.25388601036269,2.33160621761658,AL
19,0102500,Arley,Alabama,Arley AL,42.8,477.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,144.0,33438.0,17712.0,"Arley town, Alabama",02500,01,30.18867924528302,0.20964360587002095,AL
20,0102836,Ashford,Alabama,Ashford AL,43.2,2211.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,369.0,43641.0,21442.0,"Ashford town, Alabama",02836,01,16.689280868385346,0.3618272274988693,AL
21,0102860,Ashland,Alabama,Ashland AL,45.1,2231.0,63.0,0.0,0.0,0.0,55.0,0.0,55.0,8.0,0.0,8.0,0.0,0.0,0.0,474.0,31042.0,18778.0,"Ashland town, Alabama",02860,01,21.24607799193187,2.823845809054236,AL
22,0102908,Ashville,Alabama,Ashville AL,38.0,2490.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0,30.0,23.0,7.0,713.0,47917.0,15843.0,"Ashville city, Alabama",02908,01,28.634538152610443,2.3694779116465865,AL
23,0102956,Athens,Alabama,Athens AL,39.4,24461.0,1369.0,194.0,67.0,127.0,651.0,213.0,438.0,210.0,95.0,115.0,314.0,279.0,35.0,3470.0,45920.0,28865.0,"Athens city, Alabama",02956,01,14.185846858264176,5.59666407751114,AL
24,0103004,Atmore,Alabama,Atmore AL,40.1,10067.0,94.0,36.0,0.0,36.0,10.0,2.0,8.0,32.0,32.0,0.0,16.0,16.0,0.0,1846.0,25487.0,15014.0,"Atmore city, Alabama",03004,01,18.337141154266416,0.9337439157643787,AL
25,0103028,Attalla,Alabama,Attalla AL,41.5,5934.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,109.0,147.0,45.0,102.0,747.0,38921.0,20032.0,"Attalla city, Alabama",03028,01,12.588473205257836,4.314122008763061,AL
26,0103076,Auburn,Alabama,Auburn AL,23.9,60318.0,5333.0,1983.0,48.0,1935.0,1934.0,323.0,1611.0,672.0,440.0,232.0,744.0,578.0,166.0,17134.0,38912.0,25746.0,"Auburn city, Alabama",03076,01,28.406114261082926,8.841473523657946,AL
27,0103220,Autaugaville,Alabama,Autaugaville AL,40.5,1023.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,229.0,29327.0,17926.0,"Autaugaville town, Alabama",03220,01,22.38514173998045,0.19550342130987292,AL
28,0103364,Avon,Alabama,Avon AL,42.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,40000.0,21340.0,"Avon town, Alabama",03364,01,9.24731182795699,0.0,AL
30,0103556,Babbie,Alabama,Babbie AL,41.2,662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,34318.0,21072.0,"Babbie town, Alabama",03556,01,24.773413897280967,0.0,AL
