penatvty,adult_welfare_noncitizen,adult_welfare_naturalized,adult_non_welfare_noncitizen,adult_non_welfare_naturalized,Country
57,NA,NA,NA,NA,United States
60,NA,NA,NA,NA,American Samoa
66,NA,NA,NA,NA,Guam
69,NA,NA,NA,NA,Northern Marianas
73,NA,NA,NA,NA,Puerto Rico
78,NA,NA,NA,NA,U.S. Virgin Islands
100,15139.17,NA,NA,NA,Albania
102,NA,NA,1830.32,NA,Austria
103,2332.14,NA,NA,NA,Belgium
104,NA,NA,3036.65,NA,Bulgaria
105,NA,NA,NA,NA,Czechoslovakia
106,NA,NA,958.83,NA,Denmark
108,NA,NA,2085.46,NA,Finland
109,4079.88,NA,7494.82,NA,France
110,2234.85,NA,4419.95,NA,Germany
116,NA,NA,869.89,NA,Greece
117,NA,NA,NA,NA,Hungary
119,715.97,NA,703.72,NA,Ireland
120,1505.03,NA,4435.88,NA,Italy
126,NA,NA,354.33,NA,Netherlands
127,NA,NA,NA,NA,Norway
128,2662.7,2579.5,12345.21,NA,Poland
129,NA,NA,4996.21,NA,Portugal
130,NA,NA,NA,NA,Azores
132,2020.64,NA,5102.66,776.27,Romania
134,5375.26,NA,2925.51,NA,Spain
136,NA,NA,NA,NA,Sweden
137,NA,NA,NA,NA,Switzerland
138,NA,NA,8329.37,428.59,United Kingdom
139,2026.03,NA,4311.13,NA,England
140,NA,NA,NA,NA,Scotland
142,NA,NA,1991.73,NA,Northern Ireland
147,NA,NA,NA,NA,Yugoslavia
148,NA,NA,NA,NA,Czech Republic
149,NA,NA,NA,NA,Slovakia
150,NA,NA,NA,NA,Bosnia & Herzegovina
151,NA,NA,NA,NA,Croatia
152,NA,NA,6498.08,NA,Macedonia
154,361.44,NA,NA,NA,NA
155,NA,NA,NA,NA,Estonia
156,NA,NA,NA,NA,Latvia
157,NA,NA,1242.67,NA,Lithuania
158,NA,NA,447.92,NA,Armenia
159,NA,NA,NA,NA,Azerbaijan
160,NA,NA,NA,NA,Belarus
161,5537.69,NA,NA,NA,Georgia
162,NA,NA,6623.29,NA,Moldova
163,9599.79,NA,2691.92,2322.55,Russia
164,1690.33,NA,4652.27,NA,Ukraine
165,NA,NA,NA,NA,USSR
166,5211.29,NA,NA,NA,"Europe, not specified"
168,NA,NA,NA,NA,Montenegro 
200,13898.16,778.82,6508.79,3937.3,Afghanistan
202,5761.17,NA,5029.65,NA,Bangladesh
203,4377.21,NA,NA,NA,Bhutan
205,9464.91,440.57,12897.02,NA,Myanmar (Burma)
206,NA,NA,NA,NA,Cambodia
207,60982.71,2366.37,99981.3,2488.45,China
209,NA,NA,NA,NA,Hong Kong
210,54526.14,NA,204746.02,7371.52,India
211,NA,NA,1911.35,NA,Indonesia
212,23880.63,NA,5101.11,4904.74,Iran
